stock_code,description,category,sku_tier,lifecycle_stage,avg_unit_price_gbp,unit_cost_gbp,active_months,total_quantity,total_revenue_gbp
10002,INFLATABLE POLITICAL GLOBE,General Merchandise,B,Regular,0.9878005115089512,0.3533,17,8836,7097.9
10002R,ROBOT PENCIL SHARPNER,Gift & Stationery,D,New/Test,5.133333333333333,1.6763,2,4,20.57
10080,GROOVY CACTUS INFLATABLE,General Merchandise,D,Regular,0.505,0.1625,11,315,129.29
10109,BENDY COLOUR PENCILS,Gift & Stationery,D,New/Test,0.42,0.1365,1,4,1.68
10120,DOGGY RUBBER,General Merchandise,D,Regular,0.2385714285714285,0.0918,21,680,146.1
10123C,HEARTS WRAPPING TAPE,Home Decor,C,Regular,0.7822388059701493,0.3521,14,654,257.01
10123G,ARMY CAMO WRAPPING TAPE,Gift & Stationery,D,Regular,0.8205882352941177,0.2542,6,2251,165.55999999999997
10124A,SPOTS ON RED BOOKCOVER TAPE,General Merchandise,D,Regular,0.42,0.1567,12,62,26.04
10124G,ARMY CAMO BOOKCOVER TAPE,General Merchandise,D,Regular,0.4581818181818182,0.1638,9,38,16.38
10125,MINI FUNKY DESIGN TAPES,General Merchandise,B,Regular,0.9315469613259668,0.3584,23,2151,1758.2
10133,COLOURING PENCILS BROWN TUBE,Gift & Stationery,B,Regular,0.7490301003344482,0.2324,22,3882,2407.59
10134,COLOURING PENCILS BROWN TUBE,Gift & Stationery,C,Regular,1.2892857142857144,0.3934,12,627,723.63
10135,COLOURING PENCILS BROWN TUBE,Gift & Stationery,B,Regular,1.4156047197640118,0.4985,25,4273,4642.6
10138,ASSORTED COLOUR JUMBO PEN,General Merchandise,D,Regular,0.4776190476190476,0.1561,5,261,111.22
11001,ASSTD DESIGN RACING CAR PEN,General Merchandise,B,Regular,1.8793962264150943,0.7164,25,4885,7509.97
15030,FAN BLACK FRAME,Home Decor,D,Regular,0.29,0.1169,17,254,73.66
15034,PAPER POCKET TRAVELING FAN,Gift & Stationery,C,Regular,0.35875,0.1034,25,10266,1434.21
15036,ASSORTED COLOURS SILK FAN,General Merchandise,A,Core,0.9932303090727816,0.3985,25,44365,33041.55
15039,SANDALWOOD FAN,General Merchandise,B,Regular,1.1427156549520765,0.4653,25,5119,4361.73
15044A,PINK PAPER PARASOL,Gift & Stationery,A,Core,3.5948207171314746,1.1286,25,4970,13228.55
15044B,BLUE PAPER PARASOL,Gift & Stationery,B,Regular,3.554322916666667,1.2234,21,1673,4655.94
15044C,PURPLE PAPER PARASOL,Gift & Stationery,B,Regular,3.8145147679324896,1.3067,25,973,3050.88
15044D,RED PAPER PARASOL,Gift & Stationery,B,Regular,3.447056277056277,1.0637,25,1598,4568.51
15056BL,EDWARDIAN PARASOL BLACK,General Merchandise,A,Core,6.241769230769231,2.0962,25,9646,48101.89
15056N,EDWARDIAN PARASOL NATURAL,General Merchandise,A,Core,6.816448863636364,2.6616,25,11370,58427.59
15056P,EDWARDIAN PARASOL PINK,General Merchandise,A,Core,6.226153846153847,2.5296,25,2529,12497.32
15056bl,EDWARDIAN PARASOL BLACK,General Merchandise,C,Regular,12.572258064516127,5.2365,20,126,1583.52
15056n,EDWARDIAN PARASOL NATURAL,General Merchandise,B,Regular,12.556694214876034,4.7987,17,180,2259.44
15056p,EDWARDIAN PARASOL PINK,General Merchandise,C,Regular,12.58048780487805,4.9793,18,50,628.72
15058A,BLUE POLKADOT GARDEN PARASOL,General Merchandise,B,Regular,8.550536912751678,3.1792,18,476,3153.73
15058B,PINK POLKADOT GARDEN PARASOL,General Merchandise,B,Regular,9.685,3.7049,20,438,3327.67
15058C,ICE CREAM DESIGN GARDEN PARASOL,General Merchandise,B,Regular,9.667049180327869,3.6895,20,470,2753.72
15059A,ENGLISH ROSE EDWARDIAN PARASOL,General Merchandise,C,New/Test,10.5,4.0929,1,509,1567.0
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Dining,B,Regular,5.5424675324675325,2.1183,24,1438,6558.58
15060b,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Dining,D,Long Tail,8.362,2.8762,5,5,41.81
16008,SMALL FOLDING SCISSOR(POINTED EDGE),General Merchandise,C,Regular,0.1573255813953488,0.0512,17,3143,423.46
16010,FOLDING CAMPING SCISSOR W/KNIF & S,General Merchandise,D,Regular,0.12,0.0381,4,44,5.279999999999999
16011,ANIMAL STICKERS,General Merchandise,C,Regular,0.2095689655172413,0.0927,24,3906,819.06
16012,FOOD/DRINK SPONGE STICKERS,General Merchandise,C,Regular,0.2094252873563218,0.083,22,2973,623.13
16014,SMALL CHINESE STYLE SCISSOR,General Merchandise,B,Regular,0.3952577319587628,0.1354,24,30370,9839.4
16015,MEDIUM CHINESE STYLE SCISSOR,General Merchandise,C,Regular,0.4872727272727272,0.1783,21,1573,711.88
16016,LARGE CHINESE STYLE SCISSOR,General Merchandise,B,Regular,0.8405454545454545,0.304,25,2338,1891.1
16020C,CLEAR STATIONERY BOX SET,General Merchandise,D,Regular,0.843,0.3271,14,160,134.5
16033,MINI HIGHLIGHTER PENS,General Merchandise,C,Regular,0.1163999999999999,0.0416,15,15121,1544.52
16043,POP ART PUSH DOWN RUBBER,General Merchandise,D,Regular,0.3184615384615384,0.1288,9,2145,180.3
16044,POP-ART FLUORESCENT PENS,General Merchandise,C,New/Test,0.3,0.1148,2,6193,389.22
16045,POPART WOODEN PENCILS ASST,Gift & Stationery,C,Regular,0.0496,0.03,14,9312,429.44
16046,TEATIME PEN CASE & PENS,Kitchen & Dining,C,Regular,0.9386363636363636,0.3629,22,10061,1227.75
16047,POP ART PEN CASE & PENS,General Merchandise,C,Regular,0.955,0.3769,10,10614,1056.4
16048,TEATIME ROUND PENCIL SHARPENER,Kitchen & Dining,C,Regular,0.3999065420560747,0.1633,25,3462,537.18
16049,TEATIME GEL PENS ASST,Kitchen & Dining,C,Regular,0.381875,0.1627,11,3169,560.48
16050,TEATIME PENCIL WITH RUBBER,Kitchen & Dining,D,New/Test,0.4,0.153,3,151,46.45
16051,TEATIME PENCIL W STAMP ASST,Kitchen & Dining,D,New/Test,0.4325,0.1567,3,941,84.69
16052,TEATIME PUSH DOWN RUBBER,Kitchen & Dining,C,Regular,0.576111111111111,0.236,15,850,283.0
16053,POPART COL BALLPOINT PEN ASST,General Merchandise,D,Regular,0.174,0.0661,8,4313,185.73
16054,POPART RECT PENCIL SHARPENER ASST,Gift & Stationery,D,Regular,0.1738461538461538,0.0533,12,1210,159.0
16119,FUNKY GIRL ADDRESS BOOK,General Merchandise,D,New/Test,1.0325,0.424,1,273,130.71
16151A,FLOWERS HANDBAG blue and orange,Fashion Accessories,D,New/Test,2.25,0.8537,3,52,72.5
16156L,"WRAP, CAROUSEL",Gift & Stationery,C,Regular,0.42,0.1287,19,950,399.0
16156N,"WRAP, FRIENDSHIP ON GREEN",Gift & Stationery,C,Regular,0.42,0.147,7,1475,619.5
16156S,WRAP PINK FAIRY CAKES,Kitchen & Dining,B,Regular,0.4153664302600472,0.1447,25,16761,6600.62
16161C,WRAP SPEED DEMONS,Gift & Stationery,D,New/Test,0.1,0.0313,1,450,45.0
16161E,WRAP BOUDOIR,Gift & Stationery,D,New/Test,0.1,0.031,3,750,75.0
16161G,WRAP BAD HAIR DAY,Gift & Stationery,D,Regular,0.1,0.03,17,975,97.5
16161M,WRAP PINK FLOCK,Gift & Stationery,C,Regular,0.418,0.1336,12,1075,449.5
16161P,WRAP ENGLISH ROSE,Gift & Stationery,B,Regular,0.4189639639639639,0.1428,24,13298,5477.4
16161U,WRAP SUKI AND FRIENDS,Gift & Stationery,B,Regular,0.4180625,0.1387,25,10076,4105.92
16162L,THE KING GIFT BAG,Fashion Accessories,C,Regular,0.7496666666666667,0.2783,13,8101,570.43
16162M,THE KING GIFT BAG 25x24x12cm,Fashion Accessories,D,Regular,0.42,0.1346,7,88,36.96
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Fashion Accessories,C,Regular,0.5951923076923077,0.2244,24,1713,525.01
16168S,FUNKY MONKEY GIFT BAG SMALL,Fashion Accessories,D,New/Test,0.3136363636363636,0.1217,3,1283,126.83
16169A,WRAP CHRISTMAS DECOUPAGE,Gift & Stationery,D,New/Test,0.42,0.1361,1,25,10.5
16169C,WRAP BLUE REINDEER,Gift & Stationery,C,Regular,0.42,0.1384,4,1350,567.0
16169D,WRAP WINTER FOREST,Gift & Stationery,D,New/Test,0.42,0.1214,1,250,105.0
16169E,WRAP 50'S CHRISTMAS,Gift & Stationery,B,Regular,0.4191999999999999,0.1386,6,4563,1892.46
16169F,WRAP BLIZZARD,Gift & Stationery,C,Regular,0.42,0.122,5,975,409.5
16169G,WRAP ROMANTIC DECOUPAGE,Gift & Stationery,D,New/Test,0.42,0.15,1,25,10.5
16169K,WRAP FOLK ART,Gift & Stationery,C,Regular,0.3634426229508196,0.1186,13,2100,669.25
16169M,WRAP DAISY CARPET,Gift & Stationery,C,Regular,0.3548333333333333,0.1118,21,2060,640.95
16169N,WRAP BLUE RUSSIAN FOLKART,Gift & Stationery,C,Regular,0.3514035087719298,0.1025,12,2050,636.75
16169P,WRAP GREEN RUSSIAN FOLKART,Gift & Stationery,C,Regular,0.3577083333333333,0.1151,13,1750,533.75
16192,PINK BALLET OPENING CUBE BOX,General Merchandise,D,New/Test,4.3,1.8137,1,3,12.9
16201A,PASTEL PINK PHOTO ALBUM,General Merchandise,D,Regular,3.774444444444444,1.4646,6,101,213.37
16201B,PASTEL BLUE PHOTO ALBUM,General Merchandise,D,New/Test,2.838,1.0845,1,34,81.1
16202A,PASTEL PINK PHOTO ALBUM,General Merchandise,C,Regular,4.533636363636363,1.6168,11,663,296.0
16202B,PASTEL BLUE PHOTO ALBUM,General Merchandise,C,Regular,4.7690909090909095,1.5994,12,1039,528.56
16202C,BEIGE PHOTO ALBUM,General Merchandise,D,Regular,3.9766666666666666,1.4262,6,97,230.59
16202E,BLACK PHOTO ALBUM,General Merchandise,D,Regular,3.395,1.1388,9,82,162.73
16206B,RED PURSE WITH PINK HEART,Home Decor,D,Regular,1.23125,0.5057,8,96,116.4
16207A,PINK STRAWBERRY HANDBAG,Fashion Accessories,C,Regular,3.001578947368421,0.949,18,143,423.53
16207B,PINK HEART RED HANDBAG,Home Decor,C,Regular,2.654782608695652,1.1053,10,265,457.65
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,General Merchandise,C,Regular,1.607727272727273,0.6184,11,375,292.86
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,General Merchandise,D,New/Test,0.65,0.2521,1,8,5.2
16216,LETTER SHAPE PENCIL SHARPENER,Gift & Stationery,C,Regular,0.2195505617977527,0.0761,23,4158,371.64
16218,CARTOON PENCIL SHARPENERS,Gift & Stationery,C,Regular,0.5034653465346535,0.1523,23,4632,454.52
16219,HOUSE SHAPE PENCIL SHARPENER,Gift & Stationery,C,Regular,0.5645736434108527,0.1636,22,3358,501.25
16225,RATTLE SNAKE EGGS,General Merchandise,C,Regular,1.6062068965517242,0.5615,24,1530,1298.93
16235,RECYCLED PENCIL WITH RABBIT ERASER,Gift & Stationery,C,Regular,0.3096923076923076,0.0989,25,5943,1362.27
16236,KITTY PENCIL ERASERS,Gift & Stationery,C,Regular,0.3061623616236162,0.0905,25,2666,599.31
16237,SLEEPING CAT ERASERS,General Merchandise,B,Regular,0.2958745874587458,0.1078,25,10938,2337.66
